date,country,location,purpose,president
"May 7–9, 1997",Costa Rica,San José,Attended the Summit Meeting of Presidents of the Central American Republics. Met President José María Figueres and travelled to Braulio Carrillo National Park.,Bill Clinton
"May 9–11, 1997",Barbados,Bridgetown,Attended the U.S.-Caribbean Community summit meeting. Signed the Partnership for Prosperity and Security in the Caribbean pact.,Bill Clinton
"May 26–27, 1997",France,Paris,Attended the NATO Summit Meeting and the signing of the NATO-Russia Founding Act.,Bill Clinton
"May 27–28, 1997",Netherlands,"The Hague,Rotterdam",Attended the U.S.-EU Summit Meeting. Attended the 50th anniversary of the Marshall Plan.,Bill Clinton
"May 28–29, 1997",United Kingdom,London,Met with Prime Minister Tony Blair. Attended a Cabinet meeting.,Bill Clinton
"July 4–10, 1997",Spain,"Palma de Majorca,Madrid,Granada",Vacationed with King Juan Carlos I and Queen Sophia. Attended the NATO Summit Meeting in Madrid.,Bill Clinton
"July 10–11, 1997",Poland,Warsaw,Met with President Aleksander Kwaśniewski and former President Lech Wałęsa.,Bill Clinton
"July 11, 1997",Romania,Bucharest,Met with President Emil Constantinescu and Romanian political leaders.,Bill Clinton
"July 11–12, 1997",Denmark,Copenhagen,Met with Queen Queen Margrethe II and Prime Minister Poul Nyrup Rasmussen.,Bill Clinton
"October 12–13, 1997",Venezuela,Caracas,Met with President Rafael Caldera.,Bill Clinton
"October 13–15, 1997",Brazil,"Brasília,São Paulo,Rio de Janeiro",Met with President Fernando Henrique Cardoso. Delivered several public addresses.,Bill Clinton
"October 15–18, 1997",Argentina,"Buenos Aires,San Carlos de Bariloche",Met with President Carlos Menem. Delivered several public addresses.,Bill Clinton
"November 23–25, 1997",Canada,Vancouver,Attended the APEC Summit Meeting.,Bill Clinton
"December 22, 1997",Italy,Aviano Air Base,Stopped en route to and from Bosnia-Herzegovina.,Bill Clinton
"December 22, 1997",Bosnia and Herzegovina,"Sarajevo,Tuzla",Met with the Bosnian Collective Presidency and Bosnian Serb President Biljana Plavšić. Visited U.S. military personnel.,Bill Clinton
"March 23, 1998",Ghana,Accra,Met with President Jerry Rawlings. Visited a Peace Corps project.,Bill Clinton
"March 23–25, 1998",Uganda,"Kampala,Kisowera,Mukono Town,Wanyange,Entebbe","Met with President Yoweri Museveni and the Presidents of Ethiopia, Rwanda, Tanzania, Kenya and the Congo.",Bill Clinton
"March 25, 1998",Rwanda,Kigali,Met with President Pasteur Bizimungu. Delivered a public address.,Bill Clinton
"March 25–29, 1998",South Africa,"Cape Town,Johannesburg",Met with President Nelson Mandela. Addressed joint session of Parliament.,Bill Clinton
"March 29–31, 1998",Botswana,"Gaborone, Kasame",Met with President Quett Masire. Visited Chobe National Park.,Bill Clinton
"March 31 – April 2, 1998",Senegal,"Dakar,Thiès,Gorée Island",Met with President Abdou Diouf. Visited Senegalese peacekeeping troops. Delivered several public addresses.,Bill Clinton
"April 16–19, 1998",Chile,Santiago,State visit. Attended the 2nd Summit of the Americas.,Bill Clinton
"May 12–14, 1998",Germany,"Berlin,Potsdam,Frankfurt,Eisenach",Met with Chancellor Helmut Kohl. Attended 50th anniversary of the Berlin Airlift.,Bill Clinton
"May 14–18, 1998",United Kingdom,"Birmingham,Weston-under-Lizard,London",Attended the 24th G8 summit and the US-EU summit meetings.,Bill Clinton
"May 18, 1998",Switzerland,Geneva,Attended the WTO meeting commemorating the 50th anniversary of GATT.,Bill Clinton
"June 24 – July 3, 1998",China,"Xi'an,Beijing,Shanghai,Guilin,Hong Kong",State visit. Met with President Jiang Zemin. Visited the Forbidden City and the Great Wall of China. Delivered a speech at Peking University.,Bill Clinton
"September 1–3, 1998",Russia,Moscow,Summit meeting with President Boris Yeltsin.,Bill Clinton
"September 3, 1998",United Kingdom,"Belfast,Armagh, Omagh",Met with Prime Minister Tony Blair and Northern Irish political leaders. Addressed the Northern Ireland Assembly.,Bill Clinton
"September 3–5, 1998",Ireland,"Dublin,Adare,Limerick,Ballybunion",Met with Prime Minister Bertie Ahern. Delivered several public addresses and played golf.,Bill Clinton
"November 19–20, 1998",Japan,Tokyo,Met with Emperor Akihito and Prime Minister Keizō Obuchi. Addressed American Chamber of Commerce.,Bill Clinton
"November 20–22, 1998",South Korea,"Seoul,Osan",Met with President Kim Dae-jung. Addressed U.S. military personnel.,Bill Clinton
"December 12–15, 1998",Israel,"Jerusalem,Masada",Met with Prime Minister Benjamin Netanyahu and senior Israeli officials.,Bill Clinton
"December 14–15, 1998",Palestinian National Authority,"Gaza,Bethlehem,Erez",Addressed Palestine National Council. Attended a meeting with Prime Minister Benjamin Netanyahu and Chairman Yasser Arafat.,Bill Clinton
"February 8, 1999",Jordan,Amman,Attended the funeral of King Hussein.,Bill Clinton
"February 14–15, 1999",Mexico,Mérida,State visit. Met with President Ernesto Zedillo.,Bill Clinton
"March 8, 1999",Nicaragua,"Managua,Posoltega,El Porvenir",Discussed reconstruction aid with President Arnoldo Aleman.,Bill Clinton
"March 8–9, 1999",Honduras,"Soto Cano Air Base, Tegucigalpa",Discussed reconstruction aid with President Carlos Roberto Flores. Addressed U.S. military personnel.,Bill Clinton
"March 10, 1999",El Salvador,San Salvador,Addressed Legislative Assembly.,Bill Clinton
"March 10–11, 1999",Guatemala,"Guatemala City,Antigua",Attended the Central American Summit.,Bill Clinton
"May 4, 1999",Belgium,Brussels,Discussed the Kosovo War with NATO officials.,Bill Clinton
"May 4–6, 1999",Germany,"Frankfurt,Ramstein Air Base,Spangdahlem Air Base,Bonn,Ingelheim",Addressed U.S. military personnel; met with Chancellor Gerhard Schröder; met with Kosovo War refugees.,Bill Clinton
"June 16, 1999",Switzerland,Geneva,Addressed ILO Conference. Met with President Ruth Dreifuss.,Bill Clinton
"June 16–17, 1999",France,Paris,Discussed peacekeeping in Kosovo with President Jacques Chirac and Prime Minister Lionel Jospin.,Bill Clinton
"June 17–21, 1999",Germany,"Cologne,Bonn",Attended the 25th G8 summit.,Bill Clinton
"June 21–22, 1999",Slovenia,Ljubljana,"Met with President Milan Kučan, Prime Minister Janez Drnovšek and Montenegrin President Milo Đukanović.",Bill Clinton
"June 22, 1999",Macedonia,Skopje,Met with President Kiro Gligorov. Addressed Kosovar refugees and NATO military personnel.,Bill Clinton
"June 22, 1999",Italy,Aviano Air Base,Addressed U.S. military personnel.,Bill Clinton
"July 25, 1999",Morocco,Rabat,Attended the funeral of King Hassan II. Met with Palestinian Authority President Yasser Arafat and Israeli Prime Minister Ehud Barak.,Bill Clinton
"July 29–30, 1999",Italy,Aviano Air Base,Stopped en route to Sarajevo.,Bill Clinton
"July 30, 1999",Bosnia and Herzegovina,Sarajevo,Attended Stability Pact Leaders Conference.,Bill Clinton
"September 11–15, 1999",New Zealand,"Auckland,Queenstown,Christchurch",Attended the APEC Summit Meeting. State Visit.,Bill Clinton
"October 7–8, 1999",Canada,"Ottawa,Mont-Tremblant",Met with Prime Minister Jean Chrétien and Quebec Premier Lucien Bouchard. Attended Federalism Conference at Mont Tremblant. Dedicated new U.S. Embassy building.,Bill Clinton
"November 1–2, 1999",Norway,Oslo,State visit. Held discussions with Prime Minister Kjell Magne Bondevik[2] Attended commemorative ceremony for former Israeli Prime Minister Yitzhak Rabin. Met with Russian Prime Minister Vladimir Putin; also met with Palestinian Authority Chairman Yasser Arafat and Prime Minister Ehud Barak of Israel.[3],Bill Clinton
"November 15–19, 1999",Turkey,"Ankara,İzmit,Ephesus,Istanbul",State visit. Attended Organization for Security and Cooperation in Europe Summit meeting.,Bill Clinton
"November 19–20, 1999",Greece,Athens,State visit. Met with Prime Minister Konstantinos Simitis.,Bill Clinton
"November 20–21, 1999",Italy,Florence,Attended conference on Progressive Governance for the 21st Century.,Bill Clinton
"November 21–23, 1999",Bulgaria,Sofia,Met with President Petar Stoyanov and Prime Minister Ivan Kostov.,Bill Clinton
"November 23, 1999",Kosovo,"Pristina,Uroševac,Camp Bondsteel",Met with Kosovar Transitional Council. Addressed the Albanian community and U.S. military personnel.,Bill Clinton
"January 29, 2000",Switzerland,Davos,Addressed the World Economic Forum.,Bill Clinton
"March 18, 2000",Italy,Aviano Air Base,Stopped en route to India.,Bill Clinton
"March 19–25, 2000",India,"New Delhi,Agra,Jaipur,Hyderabad, Mumbai",Met with President Kocheril Raman Narayanan. Signed Joint Statement on Energy and the Environment. Addressed the Indian Parliament.,Bill Clinton
"March 20, 2000",Bangladesh,Dhaka,Met with President Shahabuddin Ahmed and Prime Minister Sheikh Hasina.,Bill Clinton
"March 25, 2000",Pakistan,Islamabad,Met with President Muhammad Rafiq Tarar and General Pervez Musharraf. Delivered radio address.,Bill Clinton
"March 25, 2000",Oman,Muscat,Met with Sultan Qaboos bin Said.,Bill Clinton
"March 25, 2000",Switzerland,Geneva,Met with Syrian President Hafez al-Assad.,Bill Clinton
"May 30 – June 1, 2000",Portugal,Lisbon,Attended the U.S.-EU Summit Meeting. Met with Israeli Prime Minister Ehud Barak.,Bill Clinton
"June 1–3, 2000",Germany,"Berlin,Aachen","Met with President Johannes Rau and Chancellor Schröder; received Charlemagne Prize, and attended a Third Way Conference.",Bill Clinton
"June 3–5, 2000",Russia,Moscow,Summit meeting with President Vladimir Putin. Addressed the Duma.,Bill Clinton
"June 5, 2000",Ukraine,Kiev,Met with President Leonid Kuchma.,Bill Clinton
"June 8, 2000",Japan,Tokyo,Attended the funeral of former Prime Minister Keizō Obuchi.,Bill Clinton
"July 21–23, 2000",Japan,Nago,Attended the 26th G8 summit.,Bill Clinton
"August 26–28, 2000",Nigeria,"Abuja, Ushafa",Met with President Olusegun Obasanjo. Addressed the National Assembly.,Bill Clinton
"August 28–29, 2000",Tanzania,Arusha,Met with former South African President Nelson Mandela to promote a peace agreement for Burundi. Met with President Benjamin Mkapa.,Bill Clinton
"August 29, 2000",Egypt,Cairo,Briefed President Hosni Mubarak on the Middle East Peace Process.,Bill Clinton
"August 30, 2000",Colombia,Cartagena,Met with President Andrés Pastrana Arango.,Bill Clinton
"October 16–17, 2000",Egypt,Sharm el-Sheikh,Attended the Israeli-Palestinian Summit Meeting.,Bill Clinton
"November 14–16, 2000",Brunei,Bandar Seri Begawan,Attended the APEC Summit Meeting.,Bill Clinton
"November 16–19, 2000",Vietnam,"Hanoi,Tien Chau, Ho Chi Minh City",Met with President Tran Duc Luong. Delivered several public addresses.,Bill Clinton
"December 12, 2000",Ireland,"Dublin,Dundalk",Met with Prime Minister Bertie Ahern. Delivered several public addresses.,Bill Clinton
"December 12–14, 2000",United Kingdom,"Belfast,London,Coventry",Met with Prime Minister Tony Blair and Northern Irish political leaders in Belfast. Met with Queen Elizabeth II and delivered a speech at the University of Warwick.,Bill Clinton
"February 10, 1989",Canada,Ottawa,Met with Prime Minister Brian Mulroney.,George H. W. Bush
"February 23–25, 1989",Japan,Tokyo,"Attended the funeral of Emperor Hirohito. Met with Emperor Akihito of Japan, the kings of Belgium, Jordan and Spain, the presidents of Brazil, Egypt, France, the Federal Republic of Germany, Israel, Italy, Nigeria, the Philippines, Portugal and Zaire, and the prime ministers of Japan, Pakistan, Singapore, Thailand and Turkey.",George H. W. Bush
"February 25–27, 1989",China,Beijing,Met with President Yang Shangkun and Premier Li Peng. Also met with Prince Sihanouk of Cambodia.,George H. W. Bush
"February 27, 1989",South Korea,Seoul,Official visit. Addressed the National Assembly.,George H. W. Bush
"May 26–28, 1989",Italy,"Rome,Nettuno",Met with President Francesco Cossiga and Prime Minister Ciriaco De Mita.,George H. W. Bush
"May 27, 1989",Vatican City,Apostolic Palalce,Audience with Pope John Paul II.,George H. W. Bush
"May 28–30, 1989",Belgium,Brussels,"Attended the NATO Summit Meeting. Present were the heads of state and government of Canada, Denmark, France, Federal Republic of Germany, Greece, Iceland, Italy, Luxembourg, Norway, Portugal, Spain, Turkey, and the United Kingdom.",George H. W. Bush
"May 30–31, 1989",West Germany,"Bonn,Mainz",Met with Chancellor Helmut Kohl.,George H. W. Bush
"May 31 – June 2, 1989",United Kingdom,London,Met with Queen Elizabeth II and Prime Minister Margaret Thatcher.,George H. W. Bush
"July 9–11, 1989",Poland,"Warsaw,Gdańsk",Met with government and Solidarity leaders. Addressed the National Assembly.,George H. W. Bush
"July 11–13, 1989",Hungary,Budapest,Met with Hungarian officials. Delivered an address at Karl Marx University.,George H. W. Bush
"July 13–17, 1989",France,Paris,Attended the 15th G7 summit. Also attended ceremonies for the bicentennial of the French Revolution. Met with Ivorian President Félix Houphouët-Boigny.,George H. W. Bush
"July 17–18, 1989",Netherlands,The HagueLeiden,Met with Queen Beatrix and Prime Minister Ruud Lubbers. Delivered a public address.,George H. W. Bush
"October 27–28, 1989",Costa Rica,San José,Attended the Hemispheric Summit Meeting.,George H. W. Bush
"December 1–3, 1989",Malta,"Valletta,Marsaxlokk",Attended the Summit Meeting with Soviet General Secretary Mikhail Gorbachev. Also met with Maltese Prime Minister Eddie Fenech Adami.,George H. W. Bush
"December 3–4, 1989",Belgium,Brussels,"Attended the NATO Summit Meeting, and briefed leaders on the Malta U.S.-Soviet Summit Meeting.",George H. W. Bush
"December 16, 1989",Saint Martin,Marigot,Informal meeting with President François Mitterrand.,George H. W. Bush
"February 15, 1990",Colombia,Cartagena,"Attended the Summit Meeting on the Control of Illicit Drug Trafficking with the President Virgilio Barco Vargas, Bolivian President Jaime Paz Zamora and Peruvian President Alan García Pérez.",George H. W. Bush
"April 10, 1990",Canada,Toronto,Informal meeting with Prime Minister Brian Mulroney.,George H. W. Bush
"April 13–14, 1990",Bermuda,Hamilton,Informal meeting with Prime Minister Margaret Thatcher.,George H. W. Bush
"July 5–6, 1990",United Kingdom,London,Attended the NATO Summit Meeting.,George H. W. Bush
"September 8–9, 1990",Finland,Helsinki,Attended Summit Meeting with Soviet President Mikhail Gorbachev. Issued joint statement on the Persian Gulf crisis. Also met with President Mauno Koivisto.,George H. W. Bush
"November 17, 1990",Czechoslovakia,Prague,Attended ceremonies commemorating the first anniversary of the Velvet Revolution. Addressed the Federal Assembly.,George H. W. Bush
"November 18, 1990",Germany,"Speyer,Ludwigshafen",Met with Chancellor Helmut Kohl.,George H. W. Bush
"November 18–21, 1990",France,Paris,Attended the CSCE Summit Meeting and the signing of the Treaty on Conventional Armed Forces in Europe.,George H. W. Bush
"November 21–22, 1990",Saudi Arabia,"Jeddah,Dhahran",Met with King Fahd and the Amir of Kuwait. Addressed U.S. and British military personnel in eastern Saudi Arabia.,George H. W. Bush
"November 22–23, 1990",Egypt,Cairo,Discussed the Persian Gulf crisis with President Hosni Mubarak.,George H. W. Bush
"November 23, 1990",Switzerland,Geneva,Discussed the Persian Gulf crisis with Syrian President Hafez al-Assad.,George H. W. Bush
"November 26–27, 1990",Mexico,"Monterrey,Agualeguas",State visit. met with President Carlos Salinas de Gortari.,George H. W. Bush
"December 3–4, 1990",Brazil,Brasília,Met with President Fernando Collor de Mello. Addressed a Joint Session of the Brazilian Congress.,George H. W. Bush
"December 4–5, 1990",Uruguay,Montevideo,Met with President Luis Alberto Lacalle. Addressed a Joint Session of the Uruguayan Congress.,George H. W. Bush
"December 5–6, 1990",Argentina,Buenos Aires,Met with President Carlos Menem. Addressed a Joint Session of the Argentinean Congress.,George H. W. Bush
"December 6–7, 1990",Chile,Santiago,Met with President Patricio Aylwin. Addressed a Joint Session of the Chilean Congress.,George H. W. Bush
"December 7–8, 1990",Venezuela,Caracas,Met with President Carlos Andres Perez.,George H. W. Bush
"March 13–14, 1991",Canada,Ottawa,Met with Prime Minister Brian Mulroney. Signed an Air Quality Agreement.,George H. W. Bush
"March 14, 1991",Martinique,Fort-de-France,Discussed the Middle East peace process with President François Mitterrand.,George H. W. Bush
"March 14–16, 1991",Bermuda,Hamilton,Discussed the Middle East peace process with Prime Minister John Major.,George H. W. Bush
"July 9, 1991",Canada,Toronto,Informal Meeting with Prime Minister Brian Mulroney.,George H. W. Bush
"July 14, 1991",France,Rambouillet,Discussed further sanctions against Iraq with President François Mitterrand.,George H. W. Bush
"July 14–18, 1991",United Kingdom,London,Attended the 17th G7 summit. Also met with Soviet President Mikhail Gorbachev.,George H. W. Bush
"July 18–20, 1991",Greece,"Athens,Souda Bay",Met with Prime Minister Konstantinos Mitsotakis. Addressed U.S. and Greek military personnel.,George H. W. Bush
"July 20–21, 1991",Turkey,"Ankara,Istanbul",Met with President Turgut Ozal.,George H. W. Bush
"July 29 – August 1, 1991",Soviet Union,MoscowKiev,Attended the U.S.-Soviet Summit Meeting. Signed 1st Strategic Arms Reduction Treaty. Addressed the Ukrainian Parliament.,George H. W. Bush
"October 29–30, 1991",Spain,Madrid,Met with Prime Minister Felipe Gonzalez Marquez and Soviet President Mikhail Gorbachev. Attended the opening session of the Middle East Peace Conference.,George H. W. Bush
"November 6–8, 1991",Italy,Rome,Attended the NATO Summit Meeting.,George H. W. Bush
"November 8, 1991",Vatican City,Apostolic Palace,Audience with Pope John Paul II.,George H. W. Bush
"November 8–9, 1991",Netherlands,The Hague,Attended the European Community summit Meeting.,George H. W. Bush
"December 31, 1991 – January 3, 1992",Australia,"Sydney,Canberra,Melbourne",Met with Prime Minister Paul Keating and senior Australian officials. Addressed the Australian Parliament.,George H. W. Bush
"January 3–5, 1992",Singapore,Singapore,Met with President Wee Kim Wee and Prime Minister Goh Chok Tong. Attended a meeting of the ASEAN Business Council.,George H. W. Bush
"January 5–7, 1992",South Korea,Seoul,Met with President Roh Tae-woo and senior South Korean officials. Signed a science and technology agreement. Addressed the South Korean National Assembly. Visited U.S. military personnel.,George H. W. Bush
"January 7–10, 1992",Japan,"Kyoto,Kashihara,Tokyo","Met with Emperor Akihito, Prime Minister Kiichi Miyazawa and senior Japanese officials.",George H. W. Bush
"June 11, 1992",Panama,Panama City,Met with President Guillermo Endara. Delivered public addresses.,George H. W. Bush
"June 12–13, 1992",Brazil,Rio de Janeiro,Attended the Earth Summit Meeting.,George H. W. Bush
"July 5, 1992",Poland,Warsaw,Met with President Lech Walesa. Attended a memorial service for former Prime Minister Ignacy Jan Paderewski.,George H. W. Bush
"July 5–8, 1992",Germany,Munich,Attended the 18th G7 summit. Also met with Russian President Boris Yeltsin.,George H. W. Bush
"July 8–10, 1992",Finland,Helsinki,Attended the CSCE Summit Meeting.,George H. W. Bush
"December 31, 1992",Saudi Arabia,Riyadh,Met with King Fahd.,George H. W. Bush
"December 31, 1992 – January 2, 1993",Somalia,"Mogadishu,Baidoa,Baledogle",Visited international relief workers and U.S. military personnel.,George H. W. Bush
"January 2–3, 1993",Russia,Moscow,Signed the START II Treaty.,George H. W. Bush
"January 3–5, 1993",France,Paris,Discussed the Bosnian crisis with President François Mitterrand.,George H. W. Bush
"January 5, 1981",Mexico,Cuidad Juarez,Met with President José López Portillo. (Visit made as President-elect.),Ronald Reagan
"March 10–11, 1981",Canada,Ottawa,State visit. Met with Governor General Edward Schreyer and Prime Minister Pierre Trudeau. Addressed parliament.,Ronald Reagan
"July 19–21, 1981",Canada,"Ottawa,Montebello",Attended the 7th G7 summit.,Ronald Reagan
"October 21–24, 1981",Mexico,Cancun,"Attended the North–South Summit on International Cooperation and Development. Met with the heads of state and government of Algeria, Bangladesh, Canada, China, France, Guyana, India, Japan, Mexico, Nigeria, the Philippines, Saudi Arabia, Sweden, Tanzania, the United Kingdom, Venezuela and Yugoslavia.",Ronald Reagan
"April 7–8, 1982",Jamaica,Kingston,Official visit. Met with Prime Minister Edward Seaga.,Ronald Reagan
"April 8–11, 1982",Barbados,Bridgetown,"Official visit. Met with the prime ministers of Barbados, Dominica, Antigua and Barbuda, St. Christopher and Nevis, and St. Vincent and the Grenadines.",Ronald Reagan
"June 2–7, 1982",France,Paris,State visit. Met with President François Mitterrand and Prime Minister Pierre Mauroy.,Ronald Reagan
"June 5–6, 1982",France,Versailles,Attended the 8th G7 summit.,Ronald Reagan
"June 7, 1982",Italy,Rome,Met with President Sandro Pertini and Premier Giovanni Spadolini.,Ronald Reagan
"June 7, 1982",Vatican City,Apostolic Palace,Audience with Pope John Paul II.,Ronald Reagan
"June 7–9, 1982",United Kingdom,"London,Windsor Castle",State visit. Met with Queen Elizabeth II and Prime Minister Margaret Thatcher. Addressed Parliament.,Ronald Reagan
"June 9–11, 1982",West Germany,Bonn,State visit. Met with Chancellor Helmut Schmidt and President Karl Carstens. Addressed the Bundestag and attended a meeting of the North Atlantic Council.,Ronald Reagan
"June 11, 1982",West Germany,West Berlin,Met with Chancellor Helmut Schmidt.,Ronald Reagan
"October 8, 1982",Mexico,Tijuana,Exchange of visits with President-elect Miguel de la Madrid.,Ronald Reagan
"November 30 – December 3, 1982",Brazil,"Brasília,São Paulo",Official working visit. Met with President João Figueiredo.,Ronald Reagan
"December 3, 1982",Colombia,Bogota,Official working visit. Met with President Belisario Betancur.,Ronald Reagan
"December 3–4, 1982",Costa Rica,San José,Official working visit. Met with President Luis Alberto Monge and President Álvaro Magaña of El Salvador.,Ronald Reagan
"December 4, 1982",Honduras,San Pedro Sula,Official working visit. Met with President Roberto Suazo Córdova and with Guatemalan President Efraín Ríos Montt.,Ronald Reagan
"August 14, 1983",Mexico,La Paz,Informal meeting with President Miguel de la Madrid.,Ronald Reagan
"November 9–12, 1983",Japan,Tokyo,State visit. Met with Emperor Hirohito and Prime Minister Yasuhiro Nakasone and addressed the Diet.,Ronald Reagan
"November 12–14, 1983",South Korea,"Seoul,Demilitarized Zone",State visit. Met with President Chun Doo-hwan. Addressed the National Assembly and visited U.S. troops.,Ronald Reagan
"April 26 – May 1, 1984",China,"Beijing,Xian,Shanghai",State visit. Met with President Li Xiannian and Premier Zhao Ziyang.,Ronald Reagan
"June 1–4, 1984",Ireland,"Shannon, Galway, Ballyporeen, Dublin",Met with President Patrick Hillery and Prime Minister Garret FitzGerald. Visited ancestral home. Addressed Parliament.,Ronald Reagan
"June 4–10, 1984",United Kingdom,London,Attended the 10th G7 summit.,Ronald Reagan
"June 6, 1984",France,Normandy,"Attended commemorative ceremonies of the 40th anniversary of the Allied landing in Normandy. Also present were Canadian Prime Minister Pierre Trudeau, Queen Beatrix of the Netherlands, King Olav V of Norway, King Baudouin I of Belgium, French President François Mitterrand, Queen Elizabeth II and Jean, Grand Duke of Luxembourg.",Ronald Reagan
"March 17–18, 1985",Canada,Quebec City,Met with Prime Minister Brian Mulroney.,Ronald Reagan
"April 30 – May 4, 1985",West Germany,Bonn,Attended the 11th G7 summit.,Ronald Reagan
"May 5–6, 1985",West Germany,"Bonn,Bergen-Belsen,Bitburg,Hambach Castle",State visit. Attended ceremonies commemorating 40th anniversary of the end of World War II in Europe.,Ronald Reagan
"May 6–8, 1985",Spain,Madrid,State visit. Met with King Juan Carlos I and President Felipe González.,Ronald Reagan
"May 8, 1985",France,Strasbourg,Addressed the European Parliament.,Ronald Reagan
"May 8–10, 1985",Portugal,Lisbon,State visit. Met with President António Ramalho Eanes and Prime Minister Mário Soares. Addressed the National Assembly.,Ronald Reagan
"November 16–21, 1985",Switzerland,Geneva,Attended the Summit Meeting with Soviet General Secretary Mikhail Gorbachev. Met also with Swiss President Kurt Furgler.,Ronald Reagan
"November 21, 1985",Belgium,Brussels,"Attended the NATO Summit Meeting. Present were the Heads of State and Government of Belgium, Canada, Denmark, Federal Republic of Germany, Italy, the Netherlands, Norway, Luxembourg, Portugal, Turkey and the United Kingdom.",Ronald Reagan
"January 3, 1986",Mexico,Mexicali,Informal meeting with President Miguel de la Madrid.,Ronald Reagan
"February 20, 1986",Grenada,St. George's,"Met with Governor General Paul Scoon and Prime Minister Herbert Blaize, and with the Prime Ministers of Barbados, Dominica, Jamaica, St. Lucia, St. Christopher and Nevis, St. Vincent and the Grenadines, Antigua and Barbuda, and Trinidad and Tobago. Dedicated a memorial to U.S. servicemen.",Ronald Reagan
"April 29 – May 2, 1986",Indonesia,Bali,Attended the ASEAN Ministerial Meeting. Met with Indonesian President Suharto and Philippine Vice President Salvador Laurel.,Ronald Reagan
"May 2–7, 1986",Japan,Tokyo,Attended the 12th G7 summit.,Ronald Reagan
"October 9–12, 1986",Iceland,Reykjavík,Pre-Summit Meeting with Soviet General Secretary Mikhail Gorbachev. Met with President Vigdís Finnbogadóttir.,Ronald Reagan
"April 4–5, 1987",Canada,Ottawa,State visit. Met with Governor General Jeanne Sauvé and Prime Minister Brian Mulroney. Addressed parliament.,Ronald Reagan
"June 3–11, 1987",Italy,"Venice,Rome",Attended the 13th G7 summit. Met with President Francesco Cossiga and Prime Minister Amintore Fanfani in Rome.,Ronald Reagan
"June 6, 1987",Vatican City,Apostolic Palace,Audience with Pope John Paul II.,Ronald Reagan
"June 11–12, 1987",West Germany,West Berlin,Attended celebration's commemorating the 750th Anniversary of the founding of Berlin. Met with Chancellor Helmut Kohl.,Ronald Reagan
"June 12, 1987",West Germany,Bonn,Met with Chancellor Helmut Kohl.,Ronald Reagan
"February 13, 1988",Mexico,Mazatlan,Informal meeting with President Miguel de la Madrid. Signed textile agreement.,Ronald Reagan
"March 1–3, 1988",Belgium,Brussels,"Attended the NATO Summit Meeting. Present were the Heads of State and Government of Canada, Denmark, France, Federal Republic of Germany, Greece, Iceland, Italy, Luxembourg, Norway, Portugal, Spain, Turkey and the United Kingdom.",Ronald Reagan
"May 25, 1988",Finland,Helsinki,Met with President Mauno Koivisto and Prime Minister Harri Holkeri.,Ronald Reagan
"May 29 – June 2, 1988",Soviet Union,Moscow,Summit meeting with General Secretary Mikhail Gorbachev. Exchanged ratifications of the INF Treaty.,Ronald Reagan
"June 2–3, 1988",United Kingdom,London,"Met with Queen Elizabeth II, Prime Minister Margaret Thatcher and Japanese Prime Minister Noboru Takeshita.",Ronald Reagan
"June 19–21, 1988",Canada,Toronto,Attended the 14th G7 summit.,Ronald Reagan
"May 5–11, 1977",United Kingdom,"London,Newcastle","Attended the 3rd G7 summit. Also met with the prime ministers of Greece, Belgium, Turkey, Norway, the Netherlands and Luxembourg, and with the President of Portugal. Addressed NATO Ministers meeting.",Jimmy Carter
"May 9, 1977",Switzerland,Geneva,Official visit. Met with President Kurt Furgler. Also met with Syrian President Hafez al-Assad.,Jimmy Carter
"December 29–31, 1977",Poland,Warsaw,Official visit. Met with First Secretary Edward Gierek.,Jimmy Carter
"December 31, 1977 – January 1, 1978",Iran,Tehran,Official visit. Met with Shah Mohammad Reza Pahlavi and King Hussein of Jordan.,Jimmy Carter
"January 1–3, 1978",India,"New Delhi, Daulatpur Nasirabad[170]",Met with President Neelam Sanjiva Reddy and Prime Minister Morarji Desai. Addressed Parliament of India.,Jimmy Carter
"January 3–4, 1978",Saudi Arabia,Riyadh,Met with King Khalid and Crown Prince Fahd.,Jimmy Carter
"January 4, 1978",Egypt,Aswan,Met with President Anwar Sadat and German Chancellor Helmut Schmidt.,Jimmy Carter
"January 4–6, 1978",France,"Paris,Normandy,Bayeux,Versailles",Met with President Valéry Giscard d'Estaing and Prime Minister Raymond Barre.,Jimmy Carter
"January 6, 1978",Belgium,Brussels,Met with King Baudouin and Prime Minister Leo Tindemans. Attended meetings of the Commission of the European Communities and the North Atlantic Council.,Jimmy Carter
"March 28–29, 1978",Venezuela,Caracas,Met with President Carlos Andrés Pérez. Addressed Congress and signed maritime boundary agreement.,Jimmy Carter
"March 29–31, 1978",Brazil,BrasíliaRio de Janeiro,Official visit. Met with President Ernesto Geisel and addressed National Congress.,Jimmy Carter
"March 31 – April 3, 1978",Nigeria,Lagos,State visit. Met with President Olusegun Obasanjo.,Jimmy Carter
"April 3, 1978",Liberia,Monrovia,"Met with President William R. Tolbert, Jr.",Jimmy Carter
"June 16–17, 1978",Panama,Panama City,"Invited by President Demetrio B. Lakas and General Omar Torrijos to sign protocol confirming exchange of documents ratifying Panama Canal treaties. Also met informally with Venezuelan President Carlos Andrés Pérez, Colombian President Alfonso López Michelsen, Mexican President José López Portillo, Costa Rican Rodrigo Carazo Odio and Jamaican Prime Minister Michael Manley of Jamaica.",Jimmy Carter
